Date,Camera model,Georges,DigiDirect,Teds,CameraPro
12/12/19,,,,,
,Sony A7 M3,2272,2272.16,2239.96,2198
,Sony A7 R3,3798,3698,3499.96,3600
,Sony A7 R4,4662,4662.24,4849.96,4659
,Sony A9 M1,4486,4698,4799.95,4383
,Sony A9 M2,6599,7299,7499.95,7288
12/13/19,,,,,
,Sony A7 M3,2272,2272.16,2239.96,2198
,Sony A7 R3,3798,3698,3499.96,3600
,Sony A7 R4,4662,4662.24,4849.96,4659
,Sony A9 M1,4486,4698,4799.95,4383
,Sony A9 M2,6599,7299,7499.95,7288
12/16/19,,,,,
,Sony A7 M3,2272,2582,2239.96,2198
,Sony A7 R3,3698,3698,3499.96,3600
,Sony A7 R4,4662,5298,4849.96,4659
,Sony A9 M1,4486,4698,4799.95,4383
,Sony A9 M2,6599,7299,7499.95,6588,,,,,
12/17/19,,,,,
,Sony A7 M3,2272.0,2194.7,2499.95,2469.0
,Sony A7 R3,3698.0,3228.3,3899.95,3600.0
,Sony A7 R4,4662.0,4503.3,5399.95,5288.0
,Sony A9 M1,4486.0,3993.3,4799.95,4383.0
,Sony A9 M2,6599.0,6204.15,7499.95,6588.0
,Sony FE35 1.8,1044.05,958.8,1099.95,1016.0
,Sony FE24 1.4,1974.0,1868.3,2199.95,1868.0
,Sony FE135 1.8GM,2931.7,2454.8,0,2506.0
,Sony FE100-400GM,3313.6,2964.8,3599.95,3095.0
,Sony FE400 2.8GM,17099.05,14448.3,3999.95,15298.0
